Updated Provider org. reference ,Unique ID,Recipient Country
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-01.003.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-01.004.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-05.005.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-01.002.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-01.003.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-10.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-13.004.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-02.002.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-04.001.AF01.UGA01,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-21016-2017-AFRICA-UG,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],GB-CHC-228248-R0500,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],GB-CHC-1043843-IRISHAID-UGANDA-H018,Uganda
IRISH GOVERNMENT [IRISH AID],GB-CHC-1043843-IRISHAID-UGANDA-H018,Uganda
"IRELAND, Government of",XI-IATI-UNPF-MPTF00006,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-MPTF00006,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-MPTF00011,Uganda
IRISH AID,XI-IATI-UNPF-MPTF00011,Uganda
"IRELAND, Government of",XI-IATI-UNPF-XM-OCHA-CERF,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-XM-OCHA-CERF,Uganda
ICELAND [ICE],XM-DAC-41140-200852,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-200851,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-200894,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-UG01.01.011.URT1,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-UG01.01.023.SMP1,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-UG01.03.041.SMS1,Uganda
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-UG01-DSC,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-01.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-01.005.AF01.UGA03,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-02.006.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-03.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-03.001.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-03.005.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-05.005.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-05.005.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-01.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-01.003.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-02.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-03.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-03.001.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-03.005.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-04.002.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-10.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-01.001.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-01.001.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-01.003.AF01.UGA03,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-03.002.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-03.002.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-10.001.AF01.UGA01,Uganda
UN Women [XM-DAC-41146],XM-DAC-41146-UGA_D_3.2,Uganda
UN Women [XM-DAC-41146],XM-DAC-41146-UGA_O_4.3,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-04.002.AF01.UGA01,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000139463,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000140655,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000143407,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000145862,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000148131,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000148215,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000150011,Uganda
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000162127,Uganda
Netherlands Committee for UNICEF ,XM-DAC-41122-Uganda-4380/A0/06/880/008,Uganda
Self Help Africa [IE-CHY-6663],IE-CHY-6663-UH5,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2016-17-12.002.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-12.002.AF01.UGA03,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-12.003.AF01.UGA02,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2018-19-12.005.AF01.UGA01,Uganda
World Health Organization [XM-DAC-928],XM-DAC-928-UG-2020-21-01.002.AF01.UGA02,Uganda
